id,domain,words_en,words_es,fertility_en,fertility_es,fertility_ratio_es_en
corp_01,historia_latam,50,52,1.14,1.5769,1.3833
corp_02,salud,42,52,1.5,1.8654,1.2436
corp_03,tecnologia,39,54,1.2564,1.6481,1.3118
corp_04,geografia_latam,51,53,1.0784,1.6226,1.5046
corp_05,ciencia,45,58,1.1778,1.4483,1.2297
corp_06,cultura_latam,46,50,1.2174,1.48,1.2157
corp_07,economia,45,57,1.1778,1.5263,1.2959
corp_08,medicina,44,60,1.2045,1.55,1.2868
corp_09,historia_latam,43,43,1.4186,1.7674,1.2459
corp_10,ecologia,52,60,1.1923,1.5333,1.286
corp_11,politica,43,52,1.1163,1.4231,1.2748
corp_12,linguistica,53,55,1.1509,1.5818,1.3744
corp_13,salud_publica,43,48,1.1628,1.6458,1.4154
corp_14,derecho,46,46,1.087,1.5217,1.4
corp_15,geografia_latam,43,45,1.2558,1.5556,1.2387
corp_16,tecnologia,41,47,1.122,1.5532,1.3844
corp_17,historia,48,61,1.25,1.6721,1.3377
corp_18,ciencia,51,55,1.2157,1.7091,1.4059
corp_19,cultura_latam,47,44,1.2766,1.6818,1.3174
corp_20,medicina,46,56,1.2826,1.5714,1.2252
corp_21,economia,51,52,1.0392,1.3846,1.3324
corp_22,historia_latam,47,56,1.2766,1.5357,1.203
corp_23,educacion,39,47,1.3333,1.766,1.3245
corp_24,derecho_latam,51,50,1.3333,1.72,1.29
corp_25,salud,44,52,1.2955,1.6731,1.2915
corp_26,tecnologia,41,46,1.3902,1.8913,1.3604
corp_27,cultura,46,53,1.2174,1.5094,1.2399
corp_28,historia_latam,45,53,1.4889,1.6981,1.1405
corp_29,medio_ambiente,42,54,1.3095,1.7407,1.3293
corp_30,politica_latam,53,55,1.1698,1.5273,1.3056
